"","x"
"1",0.0329481315856886
"2",-0.142802621791701
"3",-0.117057829176059
"4",-0.221588368256577
"5",-0.0370513729710584
"6",0.0635932302569832
"7",-0.0068598325621739
"8",-0.0230198116253253
"9",0.224424072342871
"10",-0.164449504488635
"11",0.0787662282960861
"12",0.0852663063492078
"13",-0.11420533871315
"14",0.0626371830412405
"15",-0.13182719192653
"16",0.127435157920073
"17",-0.0955191692717734
"18",0.330790968835018
"19",-0.0995634209328791
"20",0.164126196910277
"21",0.198022328218636
"22",0.217100997207178
"23",0.038846534671151
"24",0.135442321274607
"25",0.15651537050287
"26",0.0169246835304765
"27",0.256368967270175
"28",0.128525428709391
"29",0.0122559186539486
"30",-0.0738364861801323
"31",0.128779732615029
"32",-0.142391485697891
"33",-0.157864321214411
"34",-0.0312198479195333
"35",0.0452881398508655
"36",0.158643442661518
"37",0.0856944277484748
"38",0.222093259748384
"39",0.108407266711762
"40",0.0195922102168459
"41",0.0597415939779999
"42",0.239856826240686
"43",-0.167539706898654
"44",0.0934715975046476
"45",0.216646728498695
"46",-0.0206566215339398
"47",0.0685093183677941
"48",0.0733705810006759
"49",0.181332709546725
"50",0.0197647116867454
"51",-0.127354610284909
"52",-0.0280854879393363
"53",-0.0311107673733498
"54",-0.152093583079936
"55",-0.0168093497033864
"56",0.068440777822916
"57",0.105439831733801
"58",-0.0741633571878105
"59",0.0422714525816299
"60",0.0194421151064353
"61",0.217295291503926
"62",0.0226955787736601
"63",0.0395338850365922
"64",0.231243273755839
"65",0.307472960420107
"66",0.0547783834368612
"67",0.132839288040967
"68",-0.134250043763687
"69",-0.0245987408107472
"70",0.286436707794833
"71",-0.147319356253378
"72",-0.037674196648957
"73",0.119291901841422
"74",-0.00418212301339544
"75",0.123078160324728
"76",-0.008406565301342
"77",-0.163345793160829
"78",-0.145511337374132
"79",-0.150354067761162
"80",0.0903992865596446
"81",0.271761959059228
"82",-0.124678501354647
"83",-0.106360861499783
"84",-0.102212473320919
"85",0.131494798568102
"86",0.0845556531926714
"87",-0.163470686105181
"88",0.0356609439621011
"89",0.305019530238809
"90",0.263045993484469
"91",0.30268461807713
"92",0.0356524133513124
"93",-0.0838138903073678
"94",-0.133923603135708
"95",-0.036844607328339
"96",0.107264513115863
"97",-0.0591935691425502
"98",0.00468181020696314
"99",0.00945328379955814
"100",0.0605537264986717
"101",-0.190211435898912
"102",0.0432977178910144
"103",0.0913267470064907
"104",-0.0226570393639128
"105",-0.028063310368268
"106",-0.312516037289414
"107",-0.00698155397286106
"108",0.0393647844078322
"109",-0.141502380766487
"110",-0.236840711792428
"111",0.0791385009325015
"112",0.0707206526123666
"113",-0.220284067921531
"114",-0.161583344196107
"115",0.0688600227376162
"116",-0.00888038430517754
"117",0.0518532845907649
"118",0.0166014832069937
"119",-0.262557602917525
"120",0.0703494508840883
"121",0.136903416957599
"122",-0.116654596526345
"123",0.10645309411543
"124",-0.382801637261382
"125",-0.0269046350860982
"126",0.0956572615390598
"127",-0.0352111004248753
"128",-0.0415110144976221
"129",0.0279123912753696
"130",-0.210702770799348
"131",-0.0658753890656072
"132",0.0681182194004092
"133",-0.0901566257527952
"134",-0.0323914911141242
"135",0.0829554267742339
"136",-0.0643494746901474
"137",0.0645563578718844
"138",-0.0332051682271118
"139",0.00421460000846942
"140",-0.0820075475997865
"141",-0.113184732967427
"142",-0.320390089998735
"143",0.0578376475842019
"144",-0.218760381534284
"145",0.0489879789255051
"146",0.00138210965330917
"147",-0.0246904473434058
"148",-0.246195069150688
"149",0.0187642897721757
"150",0.184199897630634
"151",-0.268508724572719
"152",0.114792252579037
"153",0.0156788010914851
"154",-0.0974977343399093
"155",0.0799400287443671
"156",0.110569331406858
"157",0.0985180222963735
"158",-0.184733686227127
"159",0.0796673622216129
"160",-0.029019281905503
"161",0.231474594674704
"162",0.137034315249305
"163",-0.112170698663659
"164",0.18406414027842
"165",-0.0925325010468011
"166",-0.0317790328901343
"167",0.0365933080697129
"168",0.127223969148808
"169",0.13914099569181
"170",0.196797180507391
"171",0.0274774805706717
"172",0.0225484007740304
"173",0.170931012582348
"174",0.12408259426664
"175",0.193854960725983
"176",-0.32913143182041
"177",0.0304747717286295
"178",0.0658967751518175
"179",0.372935031515132
"180",-0.0198421349605662
"181",0.0546514387019914
"182",0.301715858681501
"183",0.00447617681715242
"184",-0.101196633494945
"185",0.0485973287568113
"186",-0.000296799549078177
"187",0.0357973530196613
"188",0.131347595068904
"189",0.112897864051379
"190",-0.106058880226134
"191",-0.119460599792114
"192",-0.0587464953294822
"193",-0.0538675452801735
"194",0.358098223181193
"195",0.042089735598909
"196",0.0650940781771746
"197",0.224429978351077
"198",-0.293262576187288
"199",0.069578239832803
"200",0.11731967490943
"201",0.160086496946031
"202",0.123211442493285
"203",0.0392005969761204
"204",-0.0435871897196455
"205",-0.128459234568509
"206",0.108554667938153
"207",0.145019312247061
"208",-0.021902474223801
"209",0.158920788912252
"210",0.0301651265084808
"211",0.0649477820758982
"212",0.156337339035684
"213",-0.258990409797009
"214",0.0357552085663978
"215",0.027171403386184
"216",0.268060015219313
"217",-0.223808574089539
"218",-0.107335912018933
"219",-0.00191117771282786
"220",0.314585922709009
"221",0.1863335815548
"222",0.021285324839875
"223",4.25756116477739e-05
"224",0.0370179938129594
"225",0.0653625550525708
"226",0.119295078859566
"227",-0.0697573150049174
"228",0.0832054859288526
"229",0.0174954194989494
"230",0.270463536399954
"231",0.0229458810509963
"232",0.259062487710496
"233",0.243396870627956
"234",-0.0247871320134964
"235",-0.30063508869634
"236",0.132994353584292
"237",0.180764657637436
"238",-0.136122776988874
"239",0.241268199238104
"240",-0.19083772237498
"241",0.0209518795801094
"242",0.0864392365050244
"243",0.0112236113639041
"244",-0.159501377229678
"245",0.0579205892296547
"246",-0.178898251406218
"247",-0.136464514536446
"248",-0.202121740851722
"249",-0.0757872207905724
"250",0.144389361165176
"251",0.104718697974555
"252",0.150344288619343
"253",-0.0751860408958361
"254",0.241431189537514
"255",0.434279331087043
"256",0.126796137638867
"257",0.269970489893539
"258",-0.0757222457669613
"259",-0.0162951031101498
"260",0.151527426349793
"261",-0.315407508210662
"262",-0.0605355961239356
"263",0.258188592162788
"264",-0.0300867942454022
"265",-0.0746734265411166
"266",-0.0584249676352498
"267",0.171147095673119
"268",0.122544322948227
"269",-0.19330087848272
"270",-0.0236681965276387
"271",0.10635732131646
"272",-0.249486713456483
"273",-0.198028546595658
"274",-0.184001859388071
"275",0.127850825996921
"276",-0.00761254276207033
"277",0.0477157000781235
"278",0.2379008533661
"279",-0.0836573092972369
"280",0.27215501141974
"281",0.203024415385169
"282",-0.247483803535551
"283",0.0696694842520225
"284",0.395740243945074
"285",0.0493976468457187
"286",0.00355253108400966
"287",-0.00513154075748787
"288",-0.305152967433832
"289",0.146157485193148
"290",0.072720045039383
"291",0.0145001861785297
"292",-0.117033638195629
"293",0.0987874413192686
"294",0.0988393123360718
"295",-0.0518114959611293
"296",-0.0636997470670698
"297",-0.161694980693748
"298",-0.0104669711938696
"299",-0.28289777292266
"300",0.00239675978266011
"301",0.0158710782127868
"302",-0.0676613005319154
"303",0.0154945713156455
"304",0.0873410878005295
"305",0.0434064297441498
"306",0.0475336664689978
"307",0.0838315158835082
"308",-0.12367977381393
"309",0.0375610572006264
"310",0.0381944139765486
"311",-0.0693052440148201
"312",-0.0655268946437159
"313",-0.131588189198097
"314",0.0686807159724952
"315",0.0168977540735622
"316",-0.304441366867611
"317",0.0718793664292642
"318",-0.108272793018408
"319",0.0979072576558016
"320",0.00922551321688091
"321",0.111756123109875
"322",0.315021339637732
"323",-0.0875673815203478
"324",0.0317332747732382
"325",-0.08222514588757
"326",0.0243833128753536
"327",0.110425431960652
"328",-0.048455501314819
"329",-0.0262063651932961
"330",0.0447479669482662
"331",-0.175638224877219
"332",-0.00551280141111655
"333",-0.170005776340579
"334",-0.0415126163634188
"335",-0.267536042228912
"336",-0.0654812304416257
"337",0.397287748203707
"338",-0.130158369783042
"339",0.116497145455024
"340",-0.00330366913066607
"341",-0.228565102690695
"342",0.305307190483218
"343",-0.00543954290371298
"344",-0.191338911367396
"345",0.0995102726484023
"346",-0.187576956988193
"347",0.0644052716642376
"348",-0.167866279098806
"349",-0.0559638651736005
"350",-0.497033533251382
"351",0.274846155078427
"352",-0.269289449191503
"353",-0.240938915476048
"354",0.178552736442216
"355",0.0261445943743867
"356",-0.127634774197647
"357",-0.054047034397757
"358",0.060518147421405
"359",-0.0518731851347813
"360",0.0342034216010344
"361",0.0320320434683811
"362",0.199524888944722
"363",-0.0344783207409626
"364",-0.128106267164541
"365",0.137487510081161
"366",0.0220401278000376
"367",0.0553229898219218
"368",0.0241293901528512
"369",-0.0534648880113258
"370",-0.090386720044523
"371",-0.0400542787305201
"372",0.201001134424914
"373",0.347355622483935
"374",-0.0649340699765685
"375",-0.266102934129169
"376",-0.477651650608056
"377",0.0510326440574811
"378",-0.020599743781972
"379",-0.104057898067584
"380",0.0783316538550966
"381",0.0202315976244651
"382",-0.02905584569219
"383",0.142412206311809
"384",0.316123264591028
"385",0.0246090196934587
"386",0.247265252954602
"387",-0.1108039985578
"388",-0.0357704005322422
"389",0.0529102428033867
"390",0.0583339525384672
"391",0.0711112343725313
"392",-0.112883355916645
"393",-0.491135174730445
"394",-0.0429112053362554
"395",-0.00798127711721404
"396",-0.0616608421777008
"397",0.126033517353619
"398",-0.174899344067612
"399",0.0723737243902068
"400",0.26514359828612
"401",0.155679700222619
"402",-0.187343042046034
"403",0.131358321310106
"404",-0.192509439621461
"405",-0.0488796076298744
"406",0.0714015431689729
"407",0.141773446819278
"408",-0.00498929753176896
"409",0.0745160725695819
"410",-0.145795991614607
"411",-0.233854740807226
"412",-0.21200095839405
"413",0.129017251376678
"414",-0.019043194838139
"415",-0.030399448380954
"416",-0.0441344890651309
"417",-0.0501778521593693
"418",-0.01756672569721
"419",0.194665520366026
"420",0.151652373493398
"421",-0.204172006258422
"422",0.0683484708021076
"423",-0.150531787538787
"424",0.1591446488634
"425",0.0773682477815357
"426",0.125053331743193
"427",0.0593535159663498
"428",0.113331771397891
"429",0.045004492709222
"430",-0.240865533915825
"431",0.0177387772655434
"432",0.113651964774807
"433",-0.334302442111121
"434",-0.0512691245565601
"435",-0.252645370106112
"436",0.0975900603164464
"437",0.118531094682824
"438",-0.155504063563485
"439",-0.101009688357753
